,_id,street_name,num_nearby,nb_best,nb_best_dist,nb_worst,nb_worst_dist
222,55e8e2ebb1c8a71ef4e10e98,Breite Straße,1,Breite Straße,0.0,Breite Straße,0.0
223,55e8e2ebb1c8a71ef4e10e99,Breite Straße,2,Breite Straße,0.0,Lößnitzstraße,7.0
224,55e8e2ebb1c8a71ef4e10e9a,Breite Straße,2,Breite Straße,0.0,Lößnitzstraße,7.0
225,55e8e2ebb1c8a71ef4e10e9b,Breite Straße,2,Breite Straße,0.0,Lößnitzstraße,7.0
226,55e8e2ebb1c8a71ef4e10e9c,Breite Straße,1,Breite Straße,0.0,Breite Straße,0.0
227,55e8e2ebb1c8a71ef4e10e9d,Breite Straße,1,Breite Straße,0.0,Breite Straße,0.0
228,55e8e2ebb1c8a71ef4e10e9e,Breite Straße,1,Breite Straße,0.0,Breite Straße,0.0
229,55e8e2ebb1c8a71ef4e10e9f,Breite Straße,1,Breite Straße,0.0,Breite Straße,0.0
230,55e8e2ebb1c8a71ef4e10ea0,Breite Straße,1,Breite Straße,0.0,Breite Straße,0.0
231,55e8e2ebb1c8a71ef4e10ea1,Breite Straße,1,Breite Straße,0.0,Breite Straße,0.0
232,55e8e2ebb1c8a71ef4e10ea2,Breite Straße,1,Breite Straße,0.0,Breite Straße,0.0
233,55e8e2ebb1c8a71ef4e10ea3,Lößnitzstraße,1,Lößnitzstraße,0.0,Lößnitzstraße,0.0
234,55e8e2ebb1c8a71ef4e10ea4,Lößnitzstraße,1,Lößnitzstraße,0.0,Lößnitzstraße,0.0
235,55e8e2ebb1c8a71ef4e10ea5,Lößnitzstraße,1,Lößnitzstraße,0.0,Lößnitzstraße,0.0
236,55e8e2ebb1c8a71ef4e10ea6,Am Ringpark,2,Am Ringpark,0.0,Radebeuler Straße,16.0
237,55e8e2ebb1c8a71ef4e10ea7,Am Ringpark,1,Am Ringpark,0.0,Am Ringpark,0.0
238,55e8e2ebb1c8a71ef4e10ea8,Am Ringpark,1,Am Ringpark,0.0,Am Ringpark,0.0
239,55e8e2ebb1c8a71ef4e10ea9,Am Ringpark,1,Am Ringpark,0.0,Am Ringpark,0.0
240,55e8e2ebb1c8a71ef4e10eaa,Am Ringpark,1,Am Ringpark,0.0,Am Ringpark,0.0
241,55e8e2ebb1c8a71ef4e10eab,Am Ringpark,1,Am Ringpark,0.0,Am Ringpark,0.0
242,55e8e2ebb1c8a71ef4e1116f,Räcknitzhöhe,2,Räcknitzhöhe,0.0,Paradiesstraße,12.0
243,55e8e2ebb1c8a71ef4e11174,Hohensteinstraße,0,,,,
244,55e8e2ebb1c8a71ef4e11185,Gartenstraße,1,Gartenstraße,0.0,Gartenstraße,0.0
245,55e8e2ebb1c8a71ef4e11186,Gartenstraße,1,Gartenstraße,0.0,Gartenstraße,0.0
246,55e8e2ebb1c8a71ef4e11187,Gartenstraße,1,Gartenstraße,0.0,Gartenstraße,0.0
247,55e8e2ebb1c8a71ef4e11194,Hohensteinstraße,0,,,,
